Topic,Topic_isced,Size,Discipline,Discipline_isced,Nationality,Gender,Position,Country_University,Prestige,Year,Location,
Networks,Computing,6,Scientific Computation,Computing,,Male,Student,United States,51-100,2013,Santa Fe,
Networks,Computing,8,Scientific Computation,Computing,,Male,Student,United States,51-100,2013,Santa Fe,
"Network Science, Social Science",Computing,9,"Computer Science, Biology",Computing,,Male,Student,United States,151-200,2010,Santa Fe,
"Network Science, Social Science",Computing,5,Political Science,Social and behavioural science,,Male,Student,United States,Top 50,2009,Santa Fe,
,Computing,5,Physics,Physical sciences,,Male,Student,United States,Top 50,2017,Santa Fe,
"Network Science, Social Science",Computing,5,Public Policy,Social and behavioural science,,Male,Student,United States,Top 50,2009,Santa Fe,
Networks,Computing,7,Medicine,Health,,Female,Researcher,United States,Top 50,2014,Santa Fe,
Computational Complexity,Computing,3,Geography,Physical sciences,,Female,Student,Canada,101-150,2007,Santa Fe,
Networks,Computing,14,Economics,Social and behavioural science,,Male,Student,Belgium,Unlisted,2014,Santa Fe,
Networks,Computing,6,Sustainability,Environmental protection,Austrian,Male,Student,Austria,Unlisted,2013,Santa Fe,
Network Science,Computing,4,Computer Science,Computing,,Male,Student,United States,301-400,2010,Santa Fe,
Biology?,Computing,5,Computer Science,Computing,,Male,Student,United States,301-400,2007,Santa Fe,
Networks,Computing,14,Computer Science,Computing,,Male,Student,United States,301-400,2014,Santa Fe,
Networks,Computing,12,Computer Science,Computing,,Male,Student,United States,301-400,2014,Santa Fe,
"Network Science, Social Science",Computing,9,Social Science,Social and behavioural science,Australia,Male,Student,Australia,101-150,2010,Santa Fe,
Networks,Computing,6,Ecology,Life sciences,,Female,Student,United States,301-400,2013,Santa Fe,
,Computing,2,Information Systems,Computing,,Female,Student,Norway,51-100,2015,Santa Fe,Published: https://onlinelibrary.wiley.com/doi/full/10.1002/cplx.21799
"Network Science, Social Science",Computing,9,Sociology,Social and behavioural science,United States,Male,Student,United Kingdom,Top 50,2010,Santa Fe,
Networks,Computing,12,Medicine,Health,,Male,Student,United Kingdom,Top 50,2014,Santa Fe,
Networks,Computing,7,Medicine,Health,,Male,Student,United Kingdom,Top 50,2014,Santa Fe,
Networks,Computing,7,Computer Science,Computing,Pakistani,Male,Student,Germany,Unlisted,2014,Santa Fe,
Network Science,Computing,3,"Physics, Computer Science",Physical Sciences;Computing,,Male,Student,Brazil,151-200,2010,Santa Fe,
Networks,Computing,12,Physics,Physical sciences,Italian,Male,Student,United Kingdom,Unlisted,2014,Santa Fe,
,Computing,5,Computer Science,Computing,,Male,Student,United States,51-100,2017,Santa Fe,
Information Theory,Computing,2,Information Technology,Computing,,Male,Student ,Australia,51-100,2007,Santa Fe,
Networks,Computing,6,Information Technology,Computing,,Male,Student ,Australia,51-100,2007,Santa Fe,
Networks,Computing,14,Electrical Engineering,Engineering and engineering trades,Chinese,Male,PostDoc,United States,201-300,2014,Santa Fe,
Network Science,Computing,3,Ecology,Life sciences,,Male,Student,United States,Top 50,2009,Santa Fe,
Network Analysis,Computing,6,Neuroscience,Social and behavioural science,,Male,Student,United States,Top 50,2012,Santa Fe,
Network Science,Computing,3,Physics,Physical Sciences,,Female,Student,Philippines,Unlisted,2010,Santa Fe,
"Network Science, Social Science",Computing,9,Physics,Physical Sciences,,Female,Student,Philippines,Unlisted,2010,Santa Fe,
Networks,Computing,5,Physics,Physical sciences,Philippeano,Male,Student,Philippines,Unlisted,2013,Santa Fe,
Networks,Computing,14,Sustainability,Environmental protection,,Male,Researcher,Japan,Top 50,2014,Santa Fe,
Networks,Computing,12,Economics,Social and behavioural science,Italian,Female,Student,Italy,Unlisted,2014,Santa Fe,
Networks,Computing,5,Ecology,Life sciences,,Female,Student,Norway,Unlisted,2013,Santa Fe,
Computational Complexity,Computing,3,Computer Science,Computing,,Male,Student,United States,301-400,2007,Santa Fe,
Network Analysis,Computing,6,Mathematical Sciences,Mathematics and statistics,United States,Male,Student,United States,301-400,2012,Santa Fe,
Networks,Computing,14,Mathematics,Mathematics and statistics,,Male,Student,United States,301-400,2014,Santa Fe,
"Network Science, Social Science",Computing,9,Psychology,Social and behavioural science,,Female,Student,Poland,301-400,2010,Santa Fe,
Networks,Computing,14,Mathematics,Mathematics and statistics,French,Female,Student,France,101-150,2014,Santa Fe,
Networks,Computing,12,Mathematics,Mathematics and statistics,French,Female,Student,France,101-150,2014,Santa Fe,
Networks,Computing,4,Computer Science,Computing,,Female,Student,Sweden,51-100,2008,Santa Fe,
Networks,Computing,14,Engineering,Engineering and engineering trades,United States,Female,PostDoc,United States,Not University,2014,Santa Fe,
Networks,Computing,8,Engineering,Engineering and engineering trades,United States,Female,PostDoc,United States,Not University,2014,Santa Fe,
Networks,Computing,12,Ecology,Life sciences,,Female,Student,Netherlands,51-100,2014,Santa Fe,
Networks,Computing,7,Ecology,Life sciences,,Female,Student,Netherlands,51-100,2014,Santa Fe,
Networks,Computing,7,Medicine,Health,United States,Male,Researcher,United States,Not University,2014,Santa Fe,
,Computing,2,,,,Male,,United States,Top 50,2005,Santa Fe,
Biology?,Computing,5,Evolutionary Bioinformatics,Life sciences;Computing,France,Female,Student,Germany,Not University,2007,Santa Fe,
"Network Science, Public Health",Computing,5,Environemntal Science,Environmental protection,,Female,Student,United States,Unlisted,2009,Santa Fe,
"Network Science, Public Health",Computing,5,,,,Female,,,,2009,Santa Fe,
,Computing,1,Computer Science,Computing,Greece,Male,,,,2005,Santa Fe,
,Computing,6,Computer Science,Computing,Greece,Male,,,,2005,Santa Fe,
,Computing,5,,,,Male,,,,2005,Santa Fe,"Does neither have affiliation listed, nor the country from which the person arrived."
,Computing,5,,,,,,,,2005,Santa Fe,"Should be K. Zick, but is not listed in the participants list"
Networks,Computing;Engineering and engineering trades,2,Engineering,Engineering and engineering trades,,Male,Student,United States,301-400,2014,Santa Fe,
Networks,Computing;Engineering and engineering trades,2,Mathematics,Mathematics and statistics,,Male,Student,United States,301-400,2014,Santa Fe,
"Networks, Linguistics",Computing;Humanities,3,Bioengineering,Engineering and engineering trades;Life sciences,,Female,Student,United Kingdom,Top 50,2007,Santa Fe,
"Networks, Linguistics",Computing;Humanities,3,"Linguistics, Artificial Intelligence",Humanities,United Kingdom,Female,Student,United Kingdom,Top 50,2007,Santa Fe,
"Networks, Linguistics",Computing;Humanities,3,Comparative Literature,Humanities,,Male,Student,United States,Top 50,2007,Santa Fe,
Network Analysis,Computing;Life sciences,4,"Ecology, Evolutionary Biology",Life sciences,Japanese,Male,Student,United States,Top 50,2012,Santa Fe,
Network Analysis,Computing;Life sciences,2,Public Health,Health,,Male,Student,Sweden,Top 50,2012,Santa Fe,
Network Analysis,Computing;Life sciences,4,Computer Science,Computing,,Male,Researcher,United States,Not University,2012,Santa Fe,
Network Analysis,Computing;Life sciences,2,Systems Engineering,Engineering and engineering trades,United States,Female,Student,United States,Top 50,2012,Santa Fe,
Network Analysis,Computing;Life sciences,4,"Mathematics and statistics, Life sciences",Mathematics and statistics,Chinese,Female,Student,United States,Top 50,2012,Santa Fe,
Network Analysis,Computing;Life sciences,4,Biological Sciences,Life sciences,,Female,Student,United States,51-100,2012,Santa Fe,
Data Science,Computing;Mathematics and statistics,2,"Mathematics, Machine Learning",Mathematics and statistics,,Male,Student,United States,Top 50,2007,Santa Fe,
,Computing;Mathematics and statistics,4,,,,,,France,401-500,2005,Beijing,
,Computing;Mathematics and statistics,2,"Physics, Economics",Physical sciences;Social and behavioural science,,Male,Student,Switzerland,Top 50,2017,Santa Fe,
Data Science,Computing;Mathematics and statistics,2,,,,Male,Industry,,Not University,2007,Santa Fe,
,Computing;Mathematics and statistics,4,,,,Male,,United States,Top 50,2005,Beijing,
,Computing;Mathematics and statistics,4,,,,,,China,Top 50,2005,Beijing,
,Computing;Mathematics and statistics,2,Social Data Science,Social and behavioural science;Mathematics and statistics,,Male,Student,Denmark,Top 50,2017,Santa Fe,
"Computer Science, Sociology",Computing;Mathematics and statistics,3,Zoology,Life sciences,,Female,Student,United States,401-500,2006,Santa Fe,
,Computing;Mathematics and statistics,4,,,,,,,,2005,Beijing,"Does neither have affiliation listed, nor the country from which the person arrived."
Computer Science,Computing;Mathematics and statistics,3,,,,,,,,2006,Santa Fe,"M. Feldman is listed in the project, but he does not appear in the participants list."
,Computing;Physical sciences,10,Ecology,Life sciences,,Female,Postdoc,United States,Unlisted,2017,Santa Fe,
,Computing;Physical sciences,10,Soil Science,Physical sciences,,Female,Student,United States,401-500,2017,Santa Fe,
,Computing;Physical sciences,10,Biology,Life sciences,,Female,Student,Israel,151-200,2017,Santa Fe,
,Computing;Physical sciences,10,Bioinformatics,Life sciences;Computing,,Male,Student,Canada,Top 50,2017,Santa Fe,
,Computing;Physical sciences,10,Epidemiology,Health,,Male,Student,United States,Top 50,2017,Santa Fe,
,Computing;Physical sciences,10,"Physics, Complex Systems",Physical sciences,,Female,Student,United States,51-100,2017,Santa Fe,
,Computing;Physical sciences,10,Ecology,Life sciences,,Female,Student,United States,101-150,2017,Santa Fe,
,Computing;Physical sciences,10,"Ecology, Biology",Life sciences,,Male,Student,United States,51-100,2017,Santa Fe,
,Computing;Physical sciences,10,Epidemiology,Health,,Female,Student,United States,Top 50,2017,Santa Fe,
,Computing;Physical sciences,10,Economics,Social and behavioural science,,Male,Student,United Kingdom,Top 50,2017,Santa Fe,
Network Analysis,Computing;Social and behavioural science,2,Sustainability,Environmental protection,United States,Female,Student,United States,101-150,2012,Santa Fe,
Economics,Computing;Social and behavioural science,5,Economics,Social and behavioural science,,Male,Student,United States,201-300,2014,Santa Fe,
Network Analysis,Computing;Social and behavioural science,2,Public Health,Health,,Male,Student,Sweden,Top 50,2012,Santa Fe,
Economics,Computing;Social and behavioural science,5,Physics,Physical sciences,,Male,Student,Germany,Not University,2014,Santa Fe,
Economics,Computing;Social and behavioural science,5,Engineering,Engineering and engineering trades,Singapore,Male,Student,Singapore,51-100,2014,Santa Fe,
"Network Analysis, Economics",Computing;Social and behavioural science,2,Economics,Social and behavioural science,Italian,Male,Student,Italy,Unlisted,2012,Santa Fe,
"Network Analysis, Economics",Computing;Social and behavioural science,2,Economics,Social and behavioural science,Italian,Male,Student,Italy,Unlisted,2012,Santa Fe,
Economics,Computing;Social and behavioural science,5,Statistics,Mathematics and statistics,,Female,PostDoc,France,151-200,2014,Santa Fe,
Economics,Computing;Social and behavioural science,5,Engineering,Engineering and engineering trades,,Male,PostDoc,Slovenia,401-500,2014,Santa Fe,
,Engineering and engineering trades,6,Astrobiology,Physical sciences,,Male,Student,United States,101-150,2016,Santa Fe,
,Engineering and engineering trades,4,Engineering,Engineering and engineering trades,,Female,Student,China,Unlisted,2006,Beijing,
,Engineering and engineering trades,4,,,,Female,,United States,Top 50,2005,Beijing,
,Engineering and engineering trades,7,Engineering,Engineering and engineering trades,,Male,Student,United States,Top 50,2015,Santa Fe,
,Engineering and engineering trades,2,,,,Male,,United States,Top 50,2005,Santa Fe,
,Engineering and engineering trades,7,Physics,Physical sciences,,Male,Student,United States,Top 50,2015,Santa Fe,
,Engineering and engineering trades,4,Epidemiologist,Health,China,Male,Student,United States,Top 50,2006,Beijing,
Engineering,Engineering and engineering trades,6,"Engineering, Mathematics",Engineering and engineering trades;Mathematics and statistics,,Male,Student,United Kingdom,Top 50,2010,Santa Fe,
,Engineering and engineering trades,6,Physics,Physical sciences,,Male,Student,Italy,Unlisted,2016,Santa Fe,
"Engineering, Physics",Engineering and engineering trades,1,Engineering,Engineering and engineering trades,Italy,Male,Student,Belgium,51-100,2009,Santa Fe,
,Engineering and engineering trades,7,Complex Systems,Physical sciences,,Male,Student,Canada,201-300,2015,Santa Fe,
Engineering,Engineering and engineering trades,1,"Engineering, Systems Engineering",Engineering and engineering trades,,Male,Industry,United States,Not University,2007,Santa Fe,
